98,As Viagens de Marco Polo,8
98,Azul,7
98,Barrage,9
98,Black Orchestra,8
98,Black Sonata,7
98,Brass: Birmingham,8
98,Carcassonne,7
98,Castellum,6
98,Caverna: The Cave Farmers,9
98,Chartered: The Golden Age,7
98,Citadels (2ª Edição),6
98,Clãs da Caledônia,8
98,CO2: Segunda Chance,10
98,Coimbra,7
98,Concordia,7
98,Crusader Kings,9
103,Between Two Castles of Mad King Ludwig,8
103,Prehistory,7.3
103,Tapestry,8.8
103,Ilha dos Dinossauros,8.2
103,Caylus,9.2
103,The Quacks of Quedlinburg,9
103,Spirit Island,8.4
103,El Grande Big Box,9.8
103,Shipwrights of the North Sea,5.4
103,Ragusa,8.6
103,Arraial,8.4
103,For Sale,8.1
103,Adrenaline: Team Play DLC,7.9
103,Draftosaurus,7.8
103,Salada de Pontos,8.4
103,Pipeline,9
103,Sagrada: 5 & 6 Player Expansion,9
103,Anachrony,8.9
103,Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion,7
103,La Granja,9.6
103,Hadara,9.1
103,Blue Moon City,7.3
103,Last Will: Getting Sacked,8.9
103,Projeto Gaia,10
103,Everdell,8.3
103,Rococo,9
103,Lisboa,9
103,Escape Tales: O Despertar,8
103,Santa Maria,7.3
103,Bunny Kingdom,8.3
103,Tash-Kalar: Arena of Legends,7.5
103,Adrenaline,7.9
103,Yokohama,8.8
103,Gùgōng,8.1
103,Heróis de San Villano,7.4
103,Cartógrafos,9
103,Decrypto,8
103,The Mind,7
103,Córtex: Desafios!,7
103,1920 Wall Street,7.6
103,No Thanks!,8
103,Azul: Vitrais de Sintra,9.3
103,Hanabi,7.9
103,Clank! Tesouros Submersos,8.4
103,Clank! Expeditions: Gold and Silk,8.4
103,BraveRats,7.3
103,Colheita de Dados,6.9
103,CIV: Carta Impera Victoria,7.6
107,Bonfire,9.5
107,Port Royal,8.5
107,Noctiluca,9
107,Oh My Goods!,9
107,Azul: Vitrais de Sintra,9
107,Terraforming Mars,9.5
107,Xadrez,10
107,Tiranos da Umbreterna,9
107,Star Realms,8
107,Zombicide,8
107,Arquitetos do Reino Ocidental,9.5
107,Paladinos do Reino Ocidental,9.5
107,Dominion,9
107,Sagrada,9.5
107,Luxor,9
107,Azul,9
107,Ticket to Ride: Europa,9.5
107,Pandemic,8.5
107,Wingspan,9.5
107,7 Wonders Duel,8
107,Five Tribes,9
107,Scythe,9.5
107,Mini Mancala,7
107,Splendor,9
107,Dominion (Segunda Edição),9
127,Maracaibo,10
127,Scythe,10
127,Terra Mystica,10
127,Lords of Waterdeep,10
127,Wingspan,10
127,Um Banquete a Odin,10
127,A Guerra dos Tronos: Board Game,9
127,Jaipur,8.5
127,Ilha dos Dinossauros,8.5
127,Twilight Imperium (Quarta Edição),9.5
127,Dead of Winter: Um Jogo de Encruzilhadas,8.5
127,Brass: Lancashire,10
127,Lorenzo il Magnifico,10
127,Root,10
127,Ticket to Ride: Europa,10
127,Victorian Masterminds,10
127,Azul,10
127,Spyfall,8
127,Covil: Mestres das Trevas,7
127,Everdell,10
127,Unicorn Fever,5
127,Takenoko,9
127,Luxor,10
127,Perfil 6,9
127,Ticket to Ride,10
127,Santorini,9
127,Ubongo,8
127,Medici,10
127,Jamaica,10
127,Só Uma,8
127,Sushi Go!,10
127,The Quest for El Dorado,9
127,Dixit,9
127,Spartacus: Um Jogo de Sangue e Traições,10
127,7 Wonders,10
127,Eldritch Horror,9.5
127,Sagrada,10
127,Master,9
127,Master Entretenimento,9
127,Histórias Sinistras,4
127,Shadows: Amsterdam,8
127,Jenga,7
127,Dobble: Harry Potter,8
127,Uno Minimalista,8
127,When I Dream,7.5
127,Concept,7
127,High Society,5
127,Coup,7.5
141,Bushido,10
141,Kardnarök,10
190,Zombicide: Green Horde,10
190,Blood Rage,10
190,7 Wonders Duel,9.9
190,Arcadia Quest,9.9
194,Dead of Winter: A Noite Sem Fim,10
194,Star Wars: X-Wing Miniatures Game,10
221,Alien Frontiers: Outer Belt,10
221,Ticket to Ride,6
221,Chaparral,5
221,Chaparral - A Expansão pelo Oeste,5
221,Scotland Yard,2
221,Western Legends,10
221,A Cidade de Your Town,10
221,Captive,10
221,War: O jogo da estratégia,5
221,Metro,6
221,Carcassonne,7
221,Sons of Anarchy: Men of Mayhem - Calaveras Club Expansion,10
