118,Star Wars: Orla Exterior,1 a 4 jogadores 
119,Cthulhu: Death May Die,1 a 5 jogadores 
120,Hansa Teutonica,2 a 5 jogadores 
121,Bruxelles 1893,2 a 5 jogadores 
122,Carcassonne Plus,2 a 6 jogadores 
123,Sagrada,1 a 4 jogadores 
124,Zombicide: Black Plague,1 a 6 jogadores 
125,Trickerion: Legends of Illusion,2 a 4 jogadores 
126,Conquistadores de Midgard,2 a 4 jogadores 
127,El Grande,2 a 5 jogadores 
128,Cartógrafos,1 a 100 jogadores 
129,Race for the Galaxy,2 a 4 jogadores 
130,Azul: Vitrais de Sintra,2 a 4 jogadores 
131,Camel Up: 2ª Edição,3 a 8 jogadores 
132,CO2: Segunda Chance,1 a 4 jogadores 
133,Twilight Imperium (Third Edition),3 a 6 jogadores 
134,Caylus,2 a 5 jogadores 
135,Empires: Age of Discovery,2 a 6 jogadores 
136,O Senhor dos Anéis: Card Game,1 a 2 jogadores 
137,Carcassonne,2 a 5 jogadores 
138,Arquitetos do Reino Ocidental,1 a 5 jogadores 
139,Kemet,2 a 5 jogadores 
140,Pandemic: O Reino de Cthulhu,2 a 4 jogadores 
141,Mexica,2 a 4 jogadores 
142,Zombicide: Invader,1 a 6 jogadores 
143,Dead of Winter: Um Jogo de Encruzilhadas,2 a 5 jogadores 
144,Memoir ‘44,2 jogadores 
145,This War of Mine: The Board Game,1 a 6 jogadores 
146,Dead of Winter: A Crossroads Game,2 a 5 jogadores 
147,Vinhos Deluxe Edition,2 a 4 jogadores 
148,Coimbra,2 a 4 jogadores 
149,Yokohama,2 a 4 jogadores 
150,Dominion,2 a 4 jogadores 
151,Santorini,2 a 4 jogadores 
152,Kardnarök,2 a 4 jogadores 
153,Catan: O Jogo,3 a 4 jogadores 
154,Bora Bora,2 a 4 jogadores 
155,Ticket to Ride: Europa - 15 Anos,2 a 5 jogadores 
156,Campeões de Midgard ,2 a 4 jogadores 
157,A Ilha dos Gatos,1 a 4 jogadores 
158,Kingdomino,2 a 4 jogadores 
159,Star Wars: X-Wing Miniatures Game,2 jogadores 
160,Splendor: Marvel,2 a 4 jogadores 
161,Francis Drake,3 a 5 jogadores 
162,The Resistance,5 a 10 jogadores 
163,Taco Gato Cabra Queijo Pizza,2 a 8 jogadores 
164,Código Secreto,2 a 8 jogadores 
165,Clash of Cultures,2 a 4 jogadores 
166,Merchants & Marauders,2 a 4 jogadores 
167,Dungeon Lords,2 a 4 jogadores 
168,Nemesis,1 a 5 jogadores 
169,Madeira,2 a 4 jogadores 
170,Merlin,2 a 4 jogadores 
171,Magic: The Gathering,2 a 4 jogadores 
172,Oh My Goods!,2 a 4 jogadores 
173,Imperial Settlers: A Ascensão de um Império,1 a 4 jogadores 
174,Grasse - Mestres Perfumistas,2 a 4 jogadores 
175,Android: Netrunner,2 jogadores 
176,Nippon,2 a 4 jogadores 
177,Cryptid,3 a 5 jogadores 
178,Kingdom Death: Monster,1 a 6 jogadores 
179,Ethnos,2 a 6 jogadores 
180,Broom Service,2 a 5 jogadores 
181,Valeria: Card Kingdoms,1 a 5 jogadores 
182,Masmorra: Dungeons of Arcadia,2 a 5 jogadores 
183,Tapestry,1 a 5 jogadores 
184,Altiplano,2 a 5 jogadores 
185,Mansions of Madness,2 a 5 jogadores 
186,Alien Frontiers,2 a 4 jogadores 
187,Railways of the World,2 a 6 jogadores 
188,Dungeon Petz,2 a 4 jogadores 
189,Detective: O Jogo da Investigação Moderna,1 a 5 jogadores 
190,Imperial 2030,2 a 6 jogadores 
191,Suburbia,1 a 4 jogadores 
192,Ticket to Ride: Trilhos e Velas,2 a 5 jogadores 
193,Survive: Fuga de Atlântida!,2 a 4 jogadores 
194,Century: Rota das Especiarias,2 a 5 jogadores 
195,Kingdomino,2 a 4 jogadores 
196,Newton,1 a 4 jogadores 
197,The Red Cathedral,1 a 4 jogadores 
198,Runewars,2 a 4 jogadores 
199,Mar de Mentiras,3 a 6 jogadores 
200,Paper Dungeons: Um Jogo de Rabiscar Masmorras,1 a 8 jogadores 
201,Coup,2 a 10 jogadores 
202,Fields of Arle,1 a 2 jogadores 
203,Os Desejos do Sultão,1 a 4 jogadores 
204,Citadels (2ª Edição),2 a 8 jogadores 
205,Tiny Epic Galaxies,1 a 5 jogadores 
206,Santa Maria,1 a 4 jogadores 
207,Quartz,3 a 5 jogadores 
208,T.I.M.E. Stories,2 a 4 jogadores 
209,Alhambra,2 a 6 jogadores 
210,As Tabernas do Vale Profundo,2 a 4 jogadores 
211,Tiny Epic Dinosaurs,1 a 4 jogadores 
212,Abstratus,1 a 4 jogadores 
213,Kingsburg (2ª Edição),2 a 5 jogadores 
214,Euphoria: Construindo uma Melhor Distopia,2 a 6 jogadores 
215,Hive Pocket,2 jogadores 
216,Secret Hitler,5 a 10 jogadores 
217,The Resistance: Avalon,5 a 10 jogadores 
218,Zombicide,1 a 6 jogadores 
219,Potion Explosion,2 a 4 jogadores 
220,Love Letter (2ª Edição),2 a 6 jogadores 
221,Rock'n Roll Manager,2 a 5 jogadores 
222,Zombicide,1 a 12 jogadores 
223,Pandemic Legacy: 2ª Temporada,2 a 4 jogadores 
224,Isle of Skye: De Líder a Rei,2 a 5 jogadores 
225,Bärenpark,2 a 4 jogadores 
226,Breaking Bad: The Board Game,3 a 8 jogadores 
227,A Batalha dos Cinco Exércitos,2 jogadores 
228,Lewis & Clark: A Expedição,1 a 5 jogadores 
229,Bloodborne: The Card Game,3 a 5 jogadores 
230,Marvel Champions: The Card Game,1 a 4 jogadores 
231,Star Wars: X-Wing Miniatures Game – O Despertar da Força,2 jogadores 
232,A Tripulação,2 a 5 jogadores 
233,Feudum,2 a 5 jogadores 
234,Hero Quest,2 a 5 jogadores 
235,Gizmos,2 a 4 jogadores 
236,Onitama,2 jogadores 
237,Kariba,2 a 4 jogadores 
238,The Grizzled: Armistício,1 a 4 jogadores 
239,Triora: Cidade das Bruxas,2 a 4 jogadores 
240,Navegador,2 a 5 jogadores 
241,The Quest for El Dorado,2 a 4 jogadores 
242,Star Realms,2 jogadores 
243,Noctiluca,1 a 4 jogadores 
244,Ascension: Deckbuilding Game,1 a 4 jogadores 
245,Schotten Totten,2 jogadores 
246,Chaos in the Old World,3 a 4 jogadores 
247,The 7th Continent,1 a 4 jogadores 
248,Hansa Teutonica: Big Box,3 a 5 jogadores 
249,Luna,1 a 4 jogadores 
250,Forbidden Stars,2 a 4 jogadores 
251,O Bom do Videogame,2 a 5 jogadores 
252,Ascension: Chronicle of the Godslayer,1 a 2 jogadores 
253,Ora et Labora,1 a 4 jogadores 
254,Fresco,2 a 4 jogadores 
255,Viscondes do Reino Ocidental,1 a 4 jogadores 
256,Imhotep,2 a 4 jogadores 
257,Pulsar 2849,2 a 4 jogadores 
258,Space Cantina,1 a 4 jogadores 
259,Decrypto,4 a 8 jogadores 
260,Race! Formula 90,2 a 6 jogadores 
261,Pandemic Iberia,1 a 5 jogadores 
262,King of Tokyo: Dark Edition,2 a 6 jogadores 
263,Rallyman: GT,1 a 6 jogadores 
264,Bunny Kingdom,2 a 4 jogadores 
265,The Manhattan Project,2 a 5 jogadores 
266,Hadara,2 a 5 jogadores 
267,Chronicles of Crime,1 a 4 jogadores 
268,Dragon Castle,2 a 4 jogadores 
269,Innovation,2 a 4 jogadores 
270,Go,2 a 4 jogadores 
271,Sid Meier's Civilization: The Board Game,2 a 4 jogadores 
272,Dungeons & Dragons: Wrath of Ashardalon Board Game,1 a 5 jogadores 
273,Dominion,2 a 4 jogadores 
274,Mice and Mystics,1 a 4 jogadores 
275,U-BOOT: The Board Game,1 a 4 jogadores 
276,Fury of Dracula (third/fourth edition),2 a 5 jogadores 
277,Gears of War: The Board Game,1 a 4 jogadores 
278,Quix!,2 a 8 jogadores 
279,Kanagawa,2 a 4 jogadores 
280,Mythic Battles: Pantheon,2 a 4 jogadores 
281,Roll Player,1 a 4 jogadores 
